earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker
2005-01-24,0.01,0.02,0.3459,NFLX
2004-10-14,0.05,0.05,0.1052,NFLX
2004-07-15,0.02,0.02,-0.132,NFLX
2004-04-15,,,-0.1563,NFLX
2004-01-21,0.01,0.01,0.1977,NFLX
2003-10-15,0.01,0.01,0.9386,NFLX
2003-07-17,0.01,0.01,0.263,NFLX
2024-05-22,,,,NVDA
2024-02-20,,,,NVDA
2023-11-14,,,,NVDA
2023-08-23,2.06,,,NVDA
2023-05-24,0.92,1.09,0.1857,NVDA
2023-02-22,0.81,0.88,0.0875,NVDA
2022-11-16,0.69,0.58,-0.1646999999999999,NVDA
2022-08-24,1.26,0.51,-0.5938,NVDA
2022-05-25,1.29,1.36,0.0515,NVDA
2022-02-16,1.22,1.32,0.0799,NVDA
2021-11-17,1.11,1.17,0.0576,NVDA
2021-08-18,1.01,1.04,0.0250999999999999,NVDA
2021-05-26,0.82,0.92,0.1146,NVDA
2021-02-24,0.7,0.78,0.1033,NVDA
2020-11-18,0.64,0.73,0.131,NVDA
2020-08-19,0.49,0.55,0.1079,NVDA
2020-05-21,0.42,0.45,0.0675,NVDA
2020-02-13,0.42,0.47,0.1324,NVDA
2019-11-14,0.39,0.45,0.1307,NVDA
2019-08-15,0.29,0.31,0.0828999999999999,NVDA
2019-05-16,0.2,0.22,0.0868999999999999,NVDA
2019-02-14,0.19,0.2,0.0648,NVDA
2018-11-15,0.47,0.46,-0.0132,NVDA
2018-08-16,0.44,0.49,0.098,NVDA
2018-05-10,0.4,0.51,0.2867,NVDA
2018-02-08,0.29,0.39,0.3437,NVDA
2017-11-09,0.24,0.33,0.4083,NVDA
2017-08-10,0.17,0.23,0.3184,NVDA
2017-05-09,0.16,0.2,0.1986,NVDA
2017-02-09,0.21,0.25,0.1962,NVDA
2016-11-10,0.14,0.21,0.4727,NVDA
2016-08-11,0.09,0.1,0.0704,NVDA
2016-05-12,0.08,0.08,0.0385,NVDA
2016-02-17,0.08,0.09,0.1003999999999999,NVDA
2015-11-05,0.06,0.11,0.7513,NVDA
2015-08-06,0.03,0.04,0.6792,NVDA
2015-05-07,0.06,0.06,-0.0732,NVDA
2015-02-11,0.07,0.09,0.2262,NVDA
2014-11-06,0.07,0.08,0.0878999999999999,NVDA
2014-08-07,0.05,0.06,0.0917,NVDA
2014-05-06,0.04,0.05,0.2181,NVDA
2014-02-12,0.05,0.06,0.326,NVDA
2013-11-07,0.05,0.05,0.0252,NVDA
2013-08-08,0.03,0.04,0.2438,NVDA
2013-05-09,0.02,0.03,0.3369,NVDA
2013-02-13,0.06,0.07,0.1818,NVDA
2012-11-08,0.07,0.08,0.1167,NVDA
2012-08-09,0.04,0.06,0.555,NVDA
2012-05-11,0.02,0.03,0.0469,NVDA
2012-02-15,0.05,0.05,0.0044,NVDA
2011-11-10,0.06,0.07,0.1166,NVDA
2011-08-11,0.06,0.06,-0.0026,NVDA
2011-05-12,0.05,0.06,0.1408,NVDA
2011-02-16,0.04,0.06,0.4535,NVDA
2010-11-11,0.04,0.04,0.0602,NVDA
2010-08-12,0.03,0.01,-0.7199,NVDA
2010-05-13,0.05,0.06,0.089,NVDA
2010-02-17,0.05,0.06,0.1611,NVDA
2009-11-05,0.03,0.05,0.8555,NVDA
2009-08-06,-0.01,0.02,4.0864,NVDA
2009-05-07,-0.03,-0.02,0.1532,NVDA
2009-02-10,-0.02,-0.04,-1.0279,NVDA
2008-11-06,0.03,0.05,0.6920000000000001,NVDA
2008-08-12,0.03,0.03,0.1285,NVDA
2008-05-08,0.1,0.09,-0.0626999999999999,NVDA
2008-02-13,0.12,0.12,0.0468,NVDA
2007-11-08,0.09,0.11,0.2024,NVDA
2007-08-09,0.07,0.09,0.1937,NVDA
2007-05-10,0.06,0.07,0.0794,NVDA
2007-02-13,0.07,0.09,0.2476,NVDA
2006-11-09,0.06,0.07,0.1271,NVDA
2006-05-11,0.05,0.05,0.042,NVDA
2006-02-16,0.04,0.04,0.0834,NVDA
2005-11-09,0.03,0.04,0.1605,NVDA
